logged_at_utc,source,timestamp,entry_id,temp_c,hum_pct,pir_a,pir_b,pir_c,sound_d,sound_a,gas_a,gas_d,firmware_rule_state,ml_predicted_state,ml_confidence,final_state,virtual_outputs_json,thingspeak_fields_json
2026-04-08T09:00:21.685604+00:00,manual,,,30.0,55.0,0,0,0,0,200.0,150.0,0,SAFE,EVACUATE,0.7527859482300098,SAFE,"{""red_led"":0,""green_led"":1,""buzzer_mode"":""off"",""speaker_on"":0,""evacuation_signal"":0}","{""field1"":""30.00"",""field2"":""55.00"",""field3"":""0"",""field4"":""0"",""field5"":""0"",""field6"":""200"",""field7"":""0"",""field8"":""150""}"
2026-04-08T09:02:05.068348+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:02:21.003380+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:02:36.917749+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:02:52.884347+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:03:08.878342+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:03:24.841512+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:03:40.810761+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:03:56.788622+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
2026-04-08T09:04:12.756514+00:00,thingspeak,2026-04-08T09:00:08Z,166,36.0,80.0,1,0,1,0,0.0,0.0,0,EVACUATE,SAFE,0.9234776179497797,EVACUATE,"{""red_led"":1,""green_led"":0,""buzzer_mode"":""continuous"",""speaker_on"":1,""evacuation_signal"":1}","{""field1"":""36.00"",""field2"":""80.00"",""field3"":""1"",""field4"":""0"",""field5"":""1"",""field6"":""0"",""field7"":""2"",""field8"":""0""}"
